Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Maxi Kleber,33,DAL,PF,34,4,18.7,1.1,2.8,.385,0.4,1.4,.265,0.7,1.4,.511,.453,0.5,0.6,.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3.0,
Taze Moore,26,POR,SG,2,0,10.0,1.0,5.0,.200,0.5,2.0,.250,0.5,3.0,.167,.250,0.5,1.0,.500,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,
Adem Bona,21,PHI,C,39,1,11.0,1.1,1.6,.689,0.0,0.0,,1.1,1.6,.689,.689,0.8,1.2,.652,1.0,1.8,2.8,0.3,0.2,0.7,0.7,1.9,2.9,
Jae Crowder,34,SAC,PF,7,2,13.1,0.9,2.4,.353,0.4,1.7,.250,0.4,0.7,.600,.441,0.7,0.9,.833,0.9,1.6,2.4,0.6,0.4,0.0,0.6,1.4,2.9,
Taj Gibson,39,CHO,C,24,11,11.9,1.2,2.6,.460,0.0,0.1,.500,1.2,2.5,.459,.468,0.5,0.7,.688,1.6,2.3,3.9,0.6,0.3,0.5,0.8,1.6,2.9,
Caleb Houstan,22,ORL,SF,39,5,11.6,0.9,2.8,.333,0.8,2.4,.323,0.2,0.4,.400,.472,0.3,0.3,.909,0.3,0.6,1.0,0.4,0.2,0.1,0.1,1.0,2.9,
Zeke Nnaji,24,DEN,PF,37,2,9.1,1.2,2.4,.517,0.2,0.8,.241,1.0,1.6,.655,.557,0.3,0.5,.588,0.5,1.0,1.5,0.2,0.3,0.5,0.2,0.9,2.9,
Tyler Smith,20,MIL,PF,15,0,5.0,1.1,2.3,.500,0.5,1.3,.400,0.6,0.9,.643,.618,0.1,0.3,.500,0.3,1.0,1.3,0.3,0.1,0.2,0.4,0.5,2.9,
Pat Spencer,28,GSW,PG,26,0,7.3,1.2,3.1,.388,0.1,0.6,.125,1.1,2.5,.453,.400,0.4,0.6,.733,0.5,1.0,1.5,1.4,0.4,0.1,0.5,0.6,2.9,
Blake Wesley,21,SAS,SG,34,0,8.6,1.1,2.5,.464,0.1,0.7,.217,1.0,1.8,.557,.494,0.5,0.7,.739,0.2,0.5,0.7,1.8,0.4,0.1,0.8,0.5,2.9,
Branden Carlson,25,OKC,C,19,0,5.6,1.0,2.1,.487,0.7,1.6,.452,0.3,0.4,.625,.667,0.1,0.1,1.000,0.3,1.1,1.4,0.3,0.1,0.3,0.2,0.6,2.8,
AJ Johnson,20,WAS,SG,3,0,8.7,1.0,2.7,.375,0.3,1.7,.200,0.7,1.0,.667,.438,0.0,0.0,,0.0,0.7,0.7,1.7,0.0,0.0,0.3,1.7,2.3,
Drew Peterson,25,BOS,PF,14,0,9.1,0.9,1.8,.480,0.6,1.4,.421,0.3,0.4,.667,.640,0.4,0.5,.857,0.4,1.6,1.9,0.8,0.1,0.1,0.4,0.9,2.7,
Trey Jemison,25,LAL,C,9,0,8.6,1.3,2.2,.600,0.0,0.0,,1.3,2.2,.600,.600,0.1,0.4,.250,0.8,1.8,2.6,0.2,0.1,0.6,0.4,2.0,2.8,
John Konchar,28,MEM,SG,30,3,12.6,0.9,2.2,.424,0.5,1.5,.326,0.4,0.7,.650,.538,0.2,0.2,.833,0.9,2.6,3.5,1.0,0.5,0.4,0.3,0.8,2.5,
E.J. Liddell,24,CHI,PF,6,0,5.2,0.8,1.3,.625,0.5,1.0,.500,0.3,0.3,1.000,.813,0.3,0.3,1.000,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,
Duop Reath,28,POR,C,27,0,5.5,0.9,2.1,.414,0.4,1.4,.316,0.4,0.7,.600,.517,0.3,0.4,.800,0.4,0.6,1.0,0.3,0.0,0.1,0.2,0.6,2.5,
Lonnie Walker IV,26,PHI,SG,2,0,17.0,1.0,7.0,.143,0.5,5.0,.100,0.5,2.0,.250,.179,0.0,0.0,,0.0,4.5,4.5,1.5,0.0,0.0,1.0,0.5,2.5,
Delon Wright,32,NYK,PG,3,0,4.3,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.7,1.3,.500,0.0,0.3,0.3,0.7,0.3,0.3,0.0,0.0,1.3,
Kobe Brown,25,LAC,PF,25,0,7.5,1.0,2.2,.481,0.2,0.8,.211,0.9,1.4,.629,.519,0.2,0.2,.800,0.6,1.3,1.9,0.6,0.2,0.1,0.3,0.6,2.4,
Johnny Davis,22,WAS,SG,34,0,7.1,0.9,2.3,.410,0.2,0.9,.241,0.7,1.4,.510,.455,0.3,0.4,.600,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,
Josh Minott,22,MIN,SF,34,0,6.6,0.9,2.1,.451,0.2,0.9,.226,0.7,1.2,.625,.500,0.3,0.4,.846,0.3,0.8,1.1,0.4,0.4,0.3,0.2,0.8,2.4,
Markieff Morris,35,LAL,PF,3,0,6.7,1.0,3.3,.300,1.0,2.3,.429,0.0,1.0,.000,.450,0.7,0.7,1.000,0.0,0.3,0.3,1.0,0.0,0.0,0.3,1.0,3.7,
Vlatko ÄanÄar,27,DEN,PF,4,0,8.5,1.0,1.8,.571,0.3,0.5,.500,0.8,1.3,.600,.643,0.0,0.0,,0.8,1.3,2.0,0.0,0.0,0.3,0.5,1.0,2.3,
Kessler Edwards,24,DAL,SF,29,9,11.4,1.0,2.3,.418,0.2,0.9,.259,0.7,1.4,.525,.470,0.1,0.1,1.000,0.5,1.9,2.4,0.9,0.4,0.4,0.3,1.2,2.3,
Lester QuiÃ±ones,24,PHI,SG,4,0,4.3,1.0,2.0,.500,0.0,0.8,.000,1.0,1.3,.800,.500,0.3,0.3,1.000,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,
Rayan Rupert,20,POR,SG,38,0,7.9,0.8,2.1,.400,0.3,0.9,.278,0.6,1.2,.500,.463,0.4,0.5,.750,0.6,0.7,1.2,0.5,0.2,0.1,0.5,0.6,2.3,
MarJon Beauchamp,24,LAC,SF,3,0,5.7,1.3,2.3,.571,0.7,1.0,.667,0.7,1.3,.500,.714,0.7,1.3,.500,0.7,0.3,1.0,0.7,0.0,0.0,0.3,0.7,4.0,
Dillon Jones,23,OKC,SF,36,0,9.0,0.8,2.4,.333,0.3,1.3,.208,0.5,1.1,.487,.391,0.3,0.6,.550,0.6,1.4,2.0,1.0,0.2,0.1,0.4,1.0,2.2,
Kai Jones,24,LAC,C,28,0,7.4,0.9,1.3,.722,0.0,0.1,.000,0.9,1.2,.765,.722,0.3,0.4,.750,0.5,1.1,1.6,0.4,0.2,0.5,0.4,0.8,2.2,
Christian Koloko,24,LAL,C,29,0,8.5,1.0,1.5,.651,0.0,0.1,.000,1.0,1.4,.683,.651,0.2,0.3,.875,1.0,1.2,2.2,0.4,0.2,0.3,0.2,1.1,2.2,
A.J. Lawson,24,TOR,SG,5,0,3.2,0.8,1.6,.500,0.4,1.0,.400,0.4,0.6,.667,.625,0.2,0.6,.333,0.2,0.6,0.8,0.0,0.0,0.0,0.0,0.0,2.2,
Patrick Baldwin Jr.,22,WAS,SF,22,0,4.6,0.8,1.5,.515,0.5,1.0,.524,0.3,0.5,.500,.682,0.1,0.2,.500,0.2,0.8,1.0,0.1,0.1,0.1,0.2,0.2,2.1,
Chris Duarte,27,CHI,SG,17,0,4.4,0.7,1.5,.462,0.4,0.9,.400,0.4,0.6,.545,.577,0.4,0.5,.750,0.3,0.9,1.2,0.5,0.0,0.0,0.1,0.4,2.1,
Pete Nance,24,PHI,C,7,0,9.7,0.7,2.1,.333,0.6,1.7,.333,0.1,0.4,.333,.467,0.1,0.3,.500,0.3,1.1,1.4,0.4,0.1,0.0,0.0,1.4,2.1,
Hunter Tyson,24,DEN,PF,40,0,7.7,0.7,1.9,.365,0.4,1.2,.306,0.3,0.6,.480,.466,0.4,0.6,.696,0.4,1.2,1.5,0.4,0.1,0.1,0.3,0.9,2.1,
Reece Beekman,23,BRK,PG,22,0,10.7,0.8,2.5,.333,0.2,1.0,.182,0.6,1.5,.438,.370,0.2,0.4,.556,0.2,0.5,0.6,1.4,0.5,0.1,0.5,0.6,2.0,
Keion Brooks Jr.,24,NOP,SF,2,0,5.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,1.0,2.0,.500,0.5,1.0,1.5,0.5,0.0,0.0,0.0,0.5,2.0,
Jalen Hood-Schifino,21,LAL,SG,2,0,7.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0,
Alex Reese,25,OKC,PF,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
Adama Sanogo,22,CHI,C,4,0,5.3,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,
Jaden Springer,22,UTA,PG,2,0,7.5,1.5,1.5,1.000,0.5,0.5,1.000,1.0,1.0,1.000,1.167,1.0,1.0,1.000,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.5,4.5,
Pacome Dadiet,19,NYK,SG,14,0,6.8,0.6,1.9,.333,0.4,1.2,.353,0.2,0.7,.300,.444,0.1,0.2,.667,0.0,1.0,1.0,0.4,0.2,0.1,0.1,0.4,1.9,
Cory Joseph,33,ORL,PG,32,0,7.3,0.7,1.9,.355,0.5,1.3,.349,0.2,0.6,.368,.476,0.1,0.1,.500,0.2,0.5,0.7,0.8,0.3,0.1,0.3,0.6,1.9,
Jordan McLaughlin,28,SAS,PG,3,0,1.7,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,1.0,
Cam Christie,19,LAC,SG,6,0,5.2,0.7,2.0,.333,0.3,1.3,.250,0.3,0.7,.500,.417,0.2,0.3,.500,0.2,0.8,1.0,0.3,0.3,0.0,0.3,0.3,1.8,
Anthony Gill,32,WAS,PF,38,0,5.7,0.6,1.2,.511,0.2,0.4,.375,0.4,0.8,.586,.578,0.4,0.7,.607,0.2,0.7,0.8,0.2,0.2,0.1,0.2,0.5,1.8,
Tyler Kolek,23,NYK,PG,29,0,5.1,0.6,1.6,.383,0.4,1.0,.393,0.2,0.7,.368,.500,0.2,0.2,1.000,0.1,0.4,0.5,0.8,0.2,0.0,0.3,0.4,1.8,
Leonard Miller,21,MIN,SF,8,0,2.8,0.4,1.5,.250,0.0,0.6,.000,0.4,0.9,.429,.250,1.0,1.0,1.000,0.4,0.9,1.3,0.0,0.1,0.1,0.3,0.3,1.8,
David Duke Jr.,25,SAS,SG,3,0,5.0,0.7,2.3,.286,0.0,0.3,.000,0.7,2.0,.333,.286,0.3,0.7,.500,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.3,1.7,
Enrique Freeman,24,IND,PF,19,1,7.3,0.6,1.3,.480,0.1,0.3,.167,0.6,1.0,.579,.500,0.4,0.7,.538,0.3,0.7,1.0,0.4,0.1,0.1,0.3,0.9,1.7,
Johnny Furphy,20,IND,SG,36,0,6.9,0.6,1.6,.368,0.3,0.9,.344,0.3,0.7,.400,.465,0.3,0.3,1.000,0.5,0.6,1.1,0.3,0.3,0.2,0.3,0.7,1.7,
Ariel Hukporti,22,NYK,C,24,0,8.4,0.7,1.1,.654,0.0,0.0,,0.7,1.1,.654,.654,0.3,0.5,.462,0.5,1.5,2.0,0.5,0.0,0.6,0.8,1.2,1.7,
Keshad Johnson,23,MIA,SF,10,0,5.7,0.7,1.2,.583,0.1,0.4,.250,0.6,0.8,.750,.625,0.1,0.6,.167,0.2,1.5,1.7,0.3,0.1,0.4,0.3,0.5,1.6,
Bryce McGowens,22,POR,SG,8,0,2.6,0.5,0.9,.571,0.0,0.3,.000,0.5,0.6,.800,.571,0.6,0.8,.833,0.1,0.0,0.1,0.1,0.1,0.0,0.4,0.3,1.6,
Tristan Thompson,33,CLE,C,31,0,7.5,0.7,1.6,.440,0.0,0.1,.000,0.7,1.5,.468,.440,0.2,0.7,.227,0.6,2.2,2.8,0.6,0.0,0.3,0.4,0.9,1.6,
Armel TraorÃ©,22,LAL,SF,9,0,7.4,0.7,2.1,.316,0.0,0.8,.000,0.7,1.3,.500,.316,0.2,0.8,.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,
Jericho Sims,26,MIL,C,4,0,15.5,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.0,0.0,,0.8,2.8,3.5,0.5,0.0,0.5,0.8,2.0,0.5,
Jazian Gortman,21,DAL,PG,16,0,3.6,0.6,1.4,.391,0.3,0.7,.364,0.3,0.8,.417,.478,0.1,0.3,.500,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5,
Quincy Olivari,23,LAL,PG,2,0,5.0,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,
Dwight Powell,33,DAL,C,34,0,7.9,0.4,0.6,.750,0.0,0.0,1.000,0.4,0.6,.737,.775,0.6,0.9,.667,0.7,1.1,1.9,0.7,0.4,0.5,0.2,1.2,1.5,
Matt Ryan,27,NYK,SF,19,0,3.6,0.5,1.6,.323,0.3,1.0,.316,0.2,0.6,.333,.419,0.1,0.1,1.000,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.1,1.5,
Jordan Walsh,20,BOS,PF,39,1,7.5,0.5,1.5,.368,0.3,1.0,.282,0.3,0.5,.556,.465,0.2,0.3,.583,0.4,0.7,1.1,0.3,0.2,0.2,0.2,0.5,1.5,
Colin Castleton,24,MEM,C,10,0,4.6,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,1.0,1.1,.909,0.3,0.6,0.9,0.0,0.1,0.1,0.1,0.6,1.4,
Alex Ducas,24,OKC,SG,16,0,4.6,0.5,1.4,.364,0.4,1.0,.438,0.1,0.4,.167,.523,0.0,0.0,,0.3,0.6,0.9,0.1,0.1,0.0,0.1,0.3,1.4,
Adam Flagler,25,OKC,SG,22,0,4.2,0.5,2.5,.218,0.3,2.0,.159,0.2,0.5,.455,.282,0.0,0.0,,0.1,0.2,0.4,0.0,0.2,0.1,0.0,0.4,1.4,
Bronny James,20,LAL,SG,17,0,4.2,0.4,1.6,.250,0.2,0.8,.231,0.2,0.9,.267,.304,0.4,0.5,.667,0.1,0.4,0.4,0.5,0.2,0.1,0.3,0.4,1.4,
Alex Len,31,LAL,C,3,0,11.7,0.7,1.7,.400,0.0,0.0,,0.7,1.7,.400,.400,0.0,0.0,,0.7,2.3,3.0,0.7,0.0,0.3,0.0,1.3,1.3,
Sidy Cissoko,20,SAS,SF,17,0,3.2,0.5,1.1,.500,0.2,0.4,.429,0.4,0.6,.545,.583,0.1,0.4,.167,0.2,0.4,0.6,0.4,0.1,0.0,0.1,0.4,1.3,
Jack McVeigh,28,HOU,PF,6,0,3.5,0.5,1.8,.273,0.3,1.3,.250,0.2,0.5,.333,.364,0.0,0.0,,0.2,0.5,0.7,0.2,0.0,0.2,0.2,0.2,1.3,
Isaiah Crawford,23,SAC,SF,6,0,4.0,0.5,1.0,.500,0.0,0.3,.000,0.5,0.7,.750,.500,0.2,0.3,.500,0.0,1.2,1.2,0.0,0.2,0.2,0.0,0.2,1.2,
Yuki Kawamura,23,MEM,PG,20,0,3.2,0.4,1.1,.364,0.2,0.8,.250,0.2,0.3,.667,.455,0.2,0.3,.667,0.0,0.4,0.4,0.7,0.1,0.0,0.2,0.4,1.2,
Chris Livingston,21,MIL,SF,12,1,4.8,0.4,1.1,.385,0.0,0.3,.000,0.4,0.8,.556,.385,0.3,0.5,.667,0.5,1.1,1.6,0.1,0.3,0.0,0.4,0.3,1.2,
Colby Jones,22,SAC,SG,24,0,5.4,0.5,1.1,.423,0.2,0.4,.400,0.3,0.7,.438,.500,0.0,0.0,,0.3,0.6,1.0,0.3,0.3,0.3,0.3,0.5,1.1,
Trey Alexander,21,DEN,SG,18,0,4.4,0.4,1.3,.292,0.1,0.6,.200,0.3,0.8,.357,.333,0.1,0.1,1.000,0.0,0.5,0.5,0.4,0.1,0.1,0.2,0.4,1.0,
Yuri Collins,23,GSW,PG,2,0,8.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,1.0,0.5,1.5,2.0,1.0,0.0,0.0,2.5,1.0,
JD Davison,22,BOS,PG,6,0,4.5,0.3,1.0,.333,0.2,0.5,.333,0.2,0.5,.333,.417,0.2,0.3,.500,0.0,0.5,0.5,0.3,0.3,0.0,1.0,0.2,1.0,
PJ Hall,22,DEN,C,15,0,3.1,0.4,0.9,.429,0.0,0.3,.000,0.4,0.6,.667,.429,0.2,0.3,.750,0.3,0.8,1.1,0.2,0.0,0.1,0.1,0.4,1.0,
Emoni Bates,21,CLE,SF,7,0,3.9,0.3,2.0,.143,0.3,1.6,.182,0.0,0.4,.000,.214,0.0,0.0,,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.3,0.9,
Joe Ingles,37,MIN,SF,17,0,6.4,0.4,1.2,.300,0.2,0.8,.231,0.2,0.4,.429,.375,0.0,0.0,,0.1,0.5,0.6,1.3,0.1,0.0,0.5,0.6,0.9,
Xavier Tillman Sr.,26,BOS,C,27,1,7.3,0.4,1.5,.244,0.1,0.9,.174,0.2,0.7,.333,.293,0.0,0.1,.500,0.3,1.0,1.3,0.3,0.3,0.2,0.3,0.6,0.9,
Luke Travers,23,CLE,SG,9,0,6.1,0.3,1.2,.273,0.0,0.4,.000,0.3,0.8,.429,.273,0.2,0.2,1.000,0.6,0.8,1.3,0.6,0.1,0.1,0.6,0.4,0.9,
Jaylen Martin,21,WAS,SF,1,0,2.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jared Rhoden,25,TOR,SG,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jalen Bridges,23,PHO,SF,5,0,5.0,0.2,0.8,.250,0.2,0.8,.250,0.0,0.0,,.375,0.2,0.4,.500,0.0,0.6,0.6,0.0,0.0,0.0,0.8,0.0,0.8,
D.J. Carton,24,TOR,SG,4,0,8.3,0.3,1.8,.143,0.0,0.8,.000,0.3,1.0,.250,.143,0.3,0.3,1.000,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,
Josh Christopher,23,MIA,SG,8,0,3.5,0.3,0.9,.286,0.0,0.1,.000,0.3,0.8,.333,.286,0.3,0.5,.500,0.0,0.4,0.4,0.5,0.0,0.1,0.5,0.1,0.8,
RayJ Dennis,23,IND,PG,6,0,1.8,0.2,0.5,.333,0.2,0.5,.333,0.0,0.0,,.500,0.3,0.3,1.000,0.2,0.3,0.5,0.2,0.3,0.0,0.3,0.2,0.8,
PJ Dozier,28,MIN,SG,9,0,3.9,0.2,0.3,.667,0.2,0.3,.667,0.0,0.0,,1.000,0.1,0.7,.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,
James Johnson,37,IND,PF,10,0,3.2,0.4,0.9,.444,0.0,0.3,.000,0.4,0.6,.667,.444,0.0,0.1,.000,0.0,0.5,0.5,0.4,0.0,0.2,0.4,0.4,0.8,
Baylor Scheierman,24,BOS,SG,14,0,6.1,0.3,1.6,.174,0.1,1.1,.067,0.2,0.6,.375,.196,0.1,0.1,1.000,0.2,1.2,1.4,0.5,0.2,0.0,0.1,0.4,0.8,
Maxwell Lewis,22,BRK,SF,3,0,1.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0,
Ulrich Chomche,19,TOR,PF,7,0,4.6,0.3,0.7,.400,0.0,0.0,,0.3,0.7,.400,.400,0.1,0.3,.500,0.6,0.6,1.1,0.3,0.0,0.1,0.3,0.7,0.7,
Liam Robbins,25,MIL,C,13,0,4.4,0.2,0.6,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.4,0.8,.500,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7,
Cui Yongxi,21,BRK,SG,5,0,2.0,0.2,1.4,.143,0.0,0.6,.000,0.2,0.8,.250,.143,0.2,0.4,.500,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,
Garrett Temple,38,TOR,SG,17,0,3.9,0.2,0.9,.200,0.1,0.4,.143,0.1,0.5,.250,.233,0.2,0.2,1.000,0.1,0.5,0.6,0.6,0.4,0.1,0.2,0.4,0.6,
Stanley Umude,25,MIL,SG,19,0,3.2,0.2,1.1,.200,0.1,0.6,.182,0.1,0.5,.222,.250,0.1,0.2,.500,0.2,0.5,0.7,0.1,0.2,0.1,0.1,0.3,0.6,
Spencer Jones,23,DEN,SF,11,0,2.7,0.2,0.8,.222,0.1,0.5,.167,0.1,0.3,.333,.278,0.0,0.0,,0.2,0.3,0.5,0.0,0.3,0.0,0.2,0.4,0.5,
Tristen Newton,23,MIN,SG,3,0,2.7,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.7,0.7,1.3,0.3,0.3,0.0,0.3,0.7,0.0,
Jacob Toppin,24,NYK,SF,16,0,3.1,0.2,0.6,.300,0.0,0.1,.000,0.2,0.5,.375,.300,0.0,0.0,,0.1,0.6,0.7,0.3,0.1,0.0,0.1,0.2,0.4,
Malevy Leons,25,OKC,SF,6,0,3.5,0.0,0.3,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.3,0.7,.500,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,
Daishen Nix,22,MIN,PG,3,0,4.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.3,0.7,.500,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,
Harrison Ingram,22,SAS,SF,2,0,5.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,
Daniss Jenkins,23,DET,PG,4,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,
Bobi Klintman,21,DET,SF,3,0,2.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,
Mac McClung,26,ORL,SG,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
Jalen McDaniels,27,WAS,SF,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,
Justin Minaya,25,POR,SF,6,0,3.0,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.3,0.2,0.5,0.3,0.2,0.0,0.0,0.5,0.0,
Riley Minix,24,SAS,SF,1,0,7.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jahlil Okafor,29,IND,C,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Chuma Okeke,26,PHI,PF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Zyon Pullin,23,MEM,SG,3,0,1.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cole Swider,25,DET,SF,2,0,6.5,0.0,2.5,.000,0.0,2.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,
